epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,429.469,0.47404,0.9697,1,0.09449,0.000473319,0.000473319,0.000473319
2,856.071,0.15281,0.90909,1,0.12149,0.000855636,0.000855636,0.000855636
3,1285.27,0.13515,1,1,0.00704,0.00114364,0.00114364,0.00114364
4,1739.88,0.14193,0.66667,1,0.36791,0.00100459,0.00100459,0.00100459
5,2156.84,0.1029,0.9697,1,0.06264,0.000863116,0.000863116,0.000863116
6,2571.42,0.05617,1,1,0.02151,0.000721645,0.000721645,0.000721645
7,2983.1,0.05381,0.9697,1,0.05808,0.000580174,0.000580174,0.000580174
8,3393.85,0.04203,0.9697,1,0.0268,0.000438703,0.000438703,0.000438703
9,3812.68,0.0325,1,1,0.00859,0.000297232,0.000297232,0.000297232
10,4274.48,0.02822,1,1,0.05912,0.000155761,0.000155761,0.000155761
