epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1731.57,1.24106,3.81117,1.47863,0.50319,0.5228,0.52029,0.30346,1.42234,3.72586,1.50143,0.000475154,0.000475154,0.000475154
2,3559.36,1.32455,2.20939,1.50087,0.53825,0.51764,0.50738,0.31228,1.4311,2.7565,1.52181,0.00085729,0.00085729,0.00085729
3,5292.02,1.3171,1.69574,1.48745,0.6795,0.64343,0.69742,0.46392,1.21821,1.88847,1.38006,0.00114511,0.00114511,0.00114511
4,7001.18,1.21806,1.38515,1.39753,0.68265,0.53101,0.59867,0.38164,1.36855,1.85615,1.46243,0.00100459,0.00100459,0.00100459
5,8684.21,1.1402,1.20516,1.34276,0.76107,0.70135,0.79682,0.5626,1.08748,1.30519,1.23685,0.000863116,0.000863116,0.000863116
6,10424.4,1.06049,1.00449,1.27773,0.83014,0.80691,0.86682,0.60418,1.06087,1.1612,1.22479,0.000721645,0.000721645,0.000721645
7,12060.4,0.98136,0.87347,1.2106,0.86891,0.80569,0.8912,0.63722,1.0649,0.91075,1.20404,0.000580174,0.000580174,0.000580174
8,13620.7,0.90898,0.75964,1.16911,0.87011,0.89183,0.9178,0.6948,0.93209,0.8431,1.12102,0.000438703,0.000438703,0.000438703
9,15213.6,0.84629,0.66201,1.13239,0.917,0.89877,0.93756,0.71968,0.8915,0.69671,1.09412,0.000297232,0.000297232,0.000297232
10,16829.3,0.78572,0.57787,1.08091,0.94144,0.89712,0.94651,0.74507,0.84715,0.65385,1.06929,0.000155761,0.000155761,0.000155761
